Timestamp,Sentence,Sentiment
9/16/2023 17:15:35,"Good, but not good like other average day.",Neutral
9/16/2023 17:16:06,"Ordered Naga, they didn’t even put a green chilly in the chowmein..",Negative
9/16/2023 17:16:41,The food was decent but the amount of chicken wasn't satisfactory.,Neutral
9/16/2023 17:17:18,"Too much oil all over the Meat Lover’s Pasta, more than enough to make anyone fall sick. Great food but terrible experience.",Negative
9/16/2023 17:18:12,didn't provide any cutlery -packaging was very bad ,Negative
9/16/2023 17:18:42,enough quantity.. test must be better more,Positive
9/16/2023 19:07:20,the jali kabab was undercooked,Negative
9/16/2023 19:08:57,Everything was good but meat size is getting small day by day.,Neutral
9/16/2023 19:56:52,"It was disastrous 1. The pizza dough was raw, my hands were covered with flour/wheat whatever they used 2.",Negative
9/16/2023 19:57:54,there was no cheese in cheesy pizza lmao. do better I guess. and the amount of sauce wasn't enough. the packaging was good but the food quality was really bad,Negative
9/16/2023 20:41:45,I ordered some mashed potatoes and it was joke of a mashed potato! It was filled with sugar and had no butter at all. I couldn't even eat half of it! ,Negative
9/16/2023 20:42:06,I wonder who puts jeera in seafood fried rice ? And as seafood I got only 3 pieces of prawn . Disappointing,Negative
9/16/2023 20:42:38,"taste was wonderful,I stayed as a patient in suhrawardy medical college & was cravings for healthy food, satisfied !",Positive
9/16/2023 20:42:51,The fried rice is extremely delicious. I order only fried rice and eat with home made chicken. Love itt!,Positive
9/16/2023 20:43:19,I got hair into the rice without that every thing was fine .they should be more careful about that.,Neutral
9/16/2023 20:43:41,I ordered Jalapeno chicken. The chicken steak was too dry and therefore no spices entered in to the chicken.,Negative
9/16/2023 20:43:56,"tha taste was good.The fish was fried in breadcrumbs, and the chips are fries",Positive
9/16/2023 20:44:18,Everything was super oily and the mashed potato was overly sweet. Bad meal overall.,Negative
9/16/2023 20:44:38,"I ordered the clear seafood soup it was not up to the mark; they gave 2 piece of prawn which was old and rubbery , very minimum fish used (too less) ",Negative
9/16/2023 20:45:07,"Awesome food (grilled chicken, rice and vegetable). The sauce was so tasty. ",Positive
9/16/2023 20:45:32,"Chicken steak was pretty decent. The portion size was value for money. Also, taste was pretty good.",Positive
9/16/2023 20:48:52,The first day I ordered quantity was so much & today quantity was not even half. Very disappointing,Negative
9/16/2023 20:49:07,"very good Bolognese spaghetti, nice seasoning and food",Positive
9/16/2023 20:49:25,it was just amazing bt prawn lacks a bit salt and if beef cooked for a little long it would taste better overall amazing,Positive
9/16/2023 20:49:42,"food was delicious and fresh, there burgers are very very good than takeout or chillox",Positive
9/16/2023 20:50:04,packaging was soooo bad! almost 3/4 th soup was wasted!,Negative
9/16/2023 20:50:25,I ordered clear veg soup.. I didn't like it.,Negative
9/16/2023 20:50:49,esttt the fried rice is the best ive had and basil chicken is really good and the prawn was ok igot the set 2 and it was amazing great quality,Positive
9/16/2023 20:51:17,"the food is not bad, but one pasta is not enough for one person. not worth the money",Neutral
9/16/2023 20:51:37,Mac and cheese should've been made entirely with cheddar cheese instead of only the top layer having it.,Neutral
9/16/2023 20:51:57,ordered the creamy alfredo pasta. taste was excellent but the portion was little and price is too much for such portion,Neutral
9/16/2023 20:52:15,The food would have been great but the tomato ketchup addition really ruined the taste. Please add the sauce in a separate container next time.,Neutral
9/16/2023 21:01:19,where is my meal?? ami 1.30 ghonta age order koresi but ekhono ashe ni😠..Where is your delivery boy,Negative
9/16/2023 21:01:49,food is good but they don't understand what customer needs because I told them more sauce but they can't put,Neutral
9/16/2023 21:02:07,Very bad experience. I have ordered beef cheese burger and they have provided burgers without cheese 😡,Negative
9/16/2023 21:02:22,i have ordered chicken cheese burger but they have sent me chicken burger,Negative
9/16/2023 21:02:45,Food & packaging was good...Delivery man's behaviour was so decent...,Neutral
9/16/2023 21:03:45,Burgers were too much spicy and we didn’t enjoyed the food. Basically burgers were prepared with bombai chili sauce and this food was just disgusting.,Negative
9/16/2023 21:04:12,Taste was best of food…..but the burger was cold!I don’t know is that happened for traffic or what,Neutral
9/16/2023 21:05:37,"I am satisfied with their burger 🥰… bun was fresh ,spice was perfect and amount of sauce was accurate , overall it was really good 😌",Positive
9/16/2023 21:05:55,Its was actually good. i asked for regular sauce but they gave extra i thing but the saice was tasty and burger was I don’t eat burger but this is extraordinary order for here,Positive
9/16/2023 21:07:06,It was really good the size became bigger than before but the price is not that worth it but it was actually good,Positive
9/16/2023 21:10:35,"I think they messed up my beef burger. Maybe it got exchanged with chicken and the spice level was wrong (wanted very spicy but I think I got spicy). Overall, good food, ",Neutral
9/16/2023 21:11:21,chilox is the best Burger shop i just love this we are regular customer ,Positive
9/16/2023 21:11:44,Chillox provides top notch food undoubtedly but sometimes makes silly mistakes like missing items.,Positive
9/16/2023 21:12:15,"I order 2x BBQ Chicken Cheese Burger, but the spice level i mentioned 01 Very Spicy & the other one Extreme Naga. They sent me both extreme naga. ",Neutral
9/16/2023 21:12:32,Burger was not so good.i ordered chicken cheese blust Chicken patty was so hard.It seems like The burger was made a long time ago.,Negative
9/16/2023 21:12:47,they gave me onions peel inside burger and there was no sauce inside burger.worst worst worst..,Negative
9/16/2023 21:13:01,They have followed my instruction. Keep up the good work and the food was tasty as usual.,Positive
9/16/2023 21:13:28,I ordered a beef bbq cheese burger but you gave me the chicken one. and even if I had the chicken one they kept the price of the beef one.,Negative
9/16/2023 21:13:53,The fries are still holding up. The chicken wings unfortunately gotten smaller but the taste is the same . So overall it was satisfactory that the quality did not degrad.,Neutral
9/16/2023 21:14:20,"I mention that please don’t put pepper’s. But they put peppers on frnch fries. So , my son could not eat 😏",Negative
9/16/2023 21:14:38,"In the wings packet they provided 5 wings instead of 6, and not to mention that they took 50 minutes to process the order. Disappointing from chillox!!",Negative
9/16/2023 21:14:55,"Very poor delivery time, too much delayed, wrong packaging, no communication for delay from restaurant. Not recommended to be in foodpanda.",Negative
9/16/2023 21:28:14,"Somedays good, Somedays bad",Neutral
9/16/2023 21:28:29,First time trying Chillox Beef burger was good 7/10 bit overpriced Naga Drumsticks great 8/10,Neutral
9/16/2023 21:52:11,i repeatedly ordered ring donuts but both times received full bun donuts... really frustrating..,Negative
9/16/2023 21:52:34,Tasty& Satisfied! please hold this food quality.Thanks!,Positive
9/16/2023 21:52:53,They provide fresh bread.They manufacture every of their product in most hygienic way.,Positive
9/16/2023 21:54:11,Quantity was not satistfying . Taste was below average and it was dry af.,Negative
9/16/2023 21:54:54,The price is unjustified to the product even though i love their food but the price being charged for it is unreasonable,Neutral
9/16/2023 21:55:23,"A Pasta Has No Name and it is amazing, as always old-school American Burger and their items prevail.",Positive
9/16/2023 21:56:13,I asked checken burger without vegetables.... but came with vegetables. not good service,Negative
9/16/2023 21:59:34,The taste and quality is so good!! and quantity was enough....👏👏,Positive
9/16/2023 22:00:13,Taste and quality should be improved. Meat could be more soft.,Neutral
9/16/2023 22:02:24,"I did not get the borhani I ordered. To conceal this, they did not provide receipts. They took money but did not deliver all my food.",Negative
9/16/2023 22:06:14,Bfc is always the best no doubt. But there was no cheese in supreme cheese burger and that made me a little upse.Other than that chicken fry was good as always.,Neutral
9/16/2023 22:06:56,"alhamdulillah, I'm satisfied it was testy and delicious. love the food very much.",Positive
9/16/2023 22:07:30,Food is excellent! Experience is good,Positive
9/16/2023 22:08:08,bro everything is good the burger and the wings are excellent ,Positive
9/16/2023 22:08:29,Well i love their naga wings a lot. One of my favourite ❤️. their best burger and fried chickens are good. BFC is one of my favourite thing🤍,Positive
9/16/2023 22:08:46,I ordered 15 Garlic Sauce but BFC gave me 13 Garlic Sauce and 2 Thousand Island Sauce. Nonsense and cheap activity from BFC. Never Expected this to happen.,Negative
9/16/2023 22:09:38,I got fried chicken skin instead of fried chicken tenders inside the chicken garlic wrap. It didn't taste good. ,Negative
9/16/2023 22:09:55,Mentioned it to be not spicy but still grilled burger was super spicy. Try to read instructions from next time.,Neutral
9/16/2023 22:10:23,best burger and chiken hot wings is their signature item. great taste as always 🫡,Positive
9/16/2023 22:11:06,"Fried Chicken & coleslaw side were very good as one would usually expect from BFC, however garlic dip was not as good as we usually get from herfy/al baik",Neutral
9/16/2023 22:11:40,it was so good..... ordered after a long time. keep up the quality.,Positive
9/16/2023 22:12:03,"BFC servers juicy fried chicken always, I was surprised and bit disappointed cause the fried chicken pieces were dry inside.",Neutral
9/17/2023 0:38:20,Worst pizza. Uncooked.,Negative
9/17/2023 0:38:40,Good pizza and drinks. A little pricey but a nice treat.,Positive
